iter	Logloss
0	0.6889416007
1	0.6847547487
2	0.6802600151
3	0.6763458252
4	0.6724221873
5	0.6683940444
6	0.6647446211
7	0.6607589722
8	0.6567316277
9	0.6524132573
10	0.6486790236
11	0.6452597685
12	0.6415360473
13	0.6377232574
14	0.6332159708
15	0.6291507011
16	0.6246909652
17	0.6209270122
18	0.6166000366
19	0.61343783
20	0.6095212448
21	0.60623648
22	0.6025192349
23	0.5991171903
24	0.5954403101
25	0.5922198185
26	0.5891411803
27	0.5857305305
28	0.581719332
29	0.5786668201
30	0.5753313553
31	0.5722429586
32	0.5693029359
33	0.5667678922
34	0.563342915
35	0.5599272085
36	0.5567478801
37	0.5542439749
38	0.5513946178
39	0.5475970423
40	0.5446609674
41	0.5413389871
42	0.5384147112
43	0.5349294529
44	0.5325914427
45	0.5303578044
46	0.5277204292
47	0.5249912351
48	0.5219020844
49	0.5192488737
50	0.5167455008
51	0.5142266917
52	0.5120782187
53	0.5094255403
54	0.5063746253
55	0.5042732594
56	0.5020919179
57	0.4991649805
58	0.4967051661
59	0.4940677909
60	0.4918864938
61	0.4895050581
62	0.4876267189
63	0.4853568853
64	0.4832059284
65	0.4803640676
66	0.4779223952
67	0.4757848784
68	0.4738877762
69	0.4717481746
70	0.4699078493
71	0.4675703714
72	0.4652318733
73	0.4622094354
74	0.4597638152
75	0.4575437501
76	0.4557102558
77	0.4537253269
78	0.4518224583
79	0.4499653661
80	0.4479202448
81	0.4457279471
82	0.4437840927
83	0.4419036244
84	0.4399998687
85	0.4380638655
86	0.4360068565
87	0.4346220327
88	0.4329152662
89	0.4308776412
90	0.4289490899
91	0.426747433
92	0.4251226824
93	0.4235835852
94	0.4220567748
95	0.4202945621
96	0.4184154244
97	0.4164370603
98	0.4145684797
99	0.4128477851
100	0.4114363027
101	0.4094194811
102	0.4073920139
103	0.4053515944
104	0.4036925116
105	0.4021818472
106	0.4005364706
107	0.3989830461
108	0.3969825478
109	0.3949542378
110	0.3928233302
111	0.3911721873
112	0.3896614784
113	0.3880687536
114	0.3863283202
115	0.3837202205
116	0.3824564912
117	0.3809949298
118	0.3793571827
119	0.3785054406
120	0.3771025192
121	0.3757891101
122	0.3741693275
123	0.3727482197
124	0.3710695976
125	0.36973574
126	0.3682313076
127	0.3668814149
128	0.3650088199
129	0.3636129512
130	0.3622324744
131	0.360733875
132	0.3592020966
133	0.3579125515
134	0.3564247087
135	0.3551044021
136	0.3536695214
137	0.352552303
138	0.3510138489
139	0.3492309659
140	0.3481905294
141	0.3469748386
142	0.3455789477
143	0.344031711
144	0.3425925499
145	0.341167583
146	0.339750423
147	0.338617591
148	0.337570878
149	0.3362470228
150	0.3351454846
151	0.3333070445
152	0.3320080513
153	0.3308734007
154	0.3297865668
155	0.328898075
156	0.3276113909
157	0.3263634083
158	0.3253733169
159	0.3242511306
160	0.322566853
161	0.3214522517
162	0.3202477389
163	0.3190964987
164	0.31803069
165	0.3170743099
166	0.3158068546
167	0.3143716856
168	0.3136307029
169	0.3125298966
170	0.3110309867
171	0.3099323982
172	0.3089091057
173	0.3081321938
174	0.3071710897
175	0.306124288
176	0.3047084587
177	0.3039982818
178	0.3029545185
179	0.3019777786
180	0.3010356371
181	0.3002631387
182	0.2994369684
183	0.2984058469
184	0.2975532177
185	0.2963801317
186	0.2955288111
187	0.2947729466
188	0.2939878065
189	0.2932422549
190	0.2922490586
191	0.2910371825
192	0.2900161078
193	0.289473822
194	0.2883655637
195	0.2876456726
196	0.2861949122
197	0.2852431453
198	0.2842872087
199	0.2833023515
200	0.2824273664
201	0.2815923247
202	0.2808982494
203	0.280113819
204	0.2791080918
205	0.2785159932
206	0.2779281306
207	0.2769989635
208	0.2761904473
209	0.275206588
210	0.2742714549
211	0.2734858269
212	0.2724541065
213	0.2714916495
214	0.2704803112
215	0.2696412774
216	0.2687747867
217	0.2678125958
218	0.2667974649
219	0.2660108611
220	0.2655031071
221	0.2647679129
222	0.2643144519
223	0.2636977795
224	0.2628947635
225	0.2619064021
226	0.2611197982
227	0.260156942
228	0.2594882167
229	0.2584981697
230	0.2576429678
231	0.2569474287
232	0.2558516347
233	0.2551224731
234	0.2544026042
235	0.2533617241
236	0.252591244
237	0.2518658305
238	0.250858817
239	0.2501914224
240	0.2494157303
241	0.2488166232
242	0.247921611
243	0.2472616018
244	0.2467610559
245	0.2459979834
246	0.2452453347
247	0.2443561332
248	0.2439377807
249	0.2429934213
250	0.2422861942
251	0.2415490483
252	0.2407001229
253	0.2399536177
254	0.2393420907
255	0.2389549433
256	0.2384478547
257	0.2380376638
258	0.237314069
259	0.2368337055
260	0.2361949433
261	0.2353688617
262	0.2347968345
263	0.234236695
264	0.233571607
265	0.2330611916
266	0.2325235855
267	0.2319781725
268	0.2314103592
269	0.230797435
270	0.2299028885
271	0.229359782
272	0.2283790943
273	0.2277311724
274	0.2270270503
275	0.2263440864
276	0.2257749868
277	0.2250618602
278	0.2245527312
279	0.2238684809
280	0.2232053003
281	0.2225332038
282	0.2218707107
283	0.2212342994
284	0.2207467279
285	0.2202033997
286	0.2197183786
287	0.219204703
288	0.2187295293
289	0.2180878395
290	0.2173614502
291	0.2165547748
292	0.2160775384
293	0.2156953146
294	0.2149824985
295	0.2145049517
296	0.2138750387
297	0.2133844952
298	0.2127824384
299	0.2123152045
300	0.2116137216
301	0.2112223603
302	0.2107166024
303	0.2100246784
304	0.2096238691
305	0.2092297133
306	0.2085349948
307	0.2079999391
308	0.2072679165
309	0.2066515989
310	0.2062727684
311	0.2058971095
312	0.2051830514
313	0.2047551399
314	0.2041359391
315	0.2036189589
316	0.2032451408
317	0.2029075623
318	0.2024799835
319	0.2021044354
320	0.2015061489
321	0.2009931609
322	0.2004095122
323	0.2001174217
324	0.1996935911
325	0.199137355
326	0.1985410202
327	0.1980333328
328	0.1974526339
329	0.1969035836
330	0.1964255488
331	0.1958587558
332	0.1951798727
333	0.1946500734
334	0.1941638326
335	0.1936638411
336	0.1932180538
337	0.1928648838
338	0.1924296978
339	0.1920867742
340	0.1916679116
341	0.1913038298
342	0.1908346221
343	0.1905723173
344	0.1902976812
345	0.1898948758
346	0.1893792485
347	0.1888682565
348	0.1883379027
349	0.1877290371
350	0.1871179315
351	0.1868476646
352	0.1864121459
353	0.1859429714
354	0.1854580724
355	0.1850579173
356	0.1846898766
357	0.184113436
358	0.1836260197
359	0.1834031482
360	0.1831299538
361	0.1825563187
362	0.1822364053
363	0.1816888964
364	0.1815156493
365	0.181134734
366	0.1806941365
367	0.1801392866
368	0.1798169557
369	0.1792819777
370	0.1788693583
371	0.1783956705
372	0.1780564286
373	0.1777151463
374	0.1772960397
375	0.176912463
376	0.1763911136
377	0.1761023056
378	0.1757482152
379	0.1752932127
380	0.175010415
381	0.1746200295
382	0.1742263173
383	0.1740271103
384	0.1735406255
385	0.1730937958
386	0.1725619116
387	0.1723628931
388	0.1720098229
389	0.1716489348
390	0.1711473021
391	0.1707574046
392	0.1704866498
393	0.1700674656
394	0.1696792425
395	0.1692131397
396	0.1690011024
397	0.1685778817
398	0.1680662687
399	0.1676345648
400	0.1672849877
401	0.166935588
402	0.1666120041
403	0.1661495941
404	0.1657602399
405	0.1652360739
406	0.1648606589
407	0.1645839602
408	0.1641437619
409	0.1637120136
410	0.1632264492
411	0.1628598612
412	0.1624833928
413	0.1621622263
414	0.1618755474
415	0.1615644943
416	0.1611407302
417	0.1608580434
418	0.1606130046
419	0.1601621717
420	0.159902373
421	0.1595440687
422	0.1591729896
423	0.1588435173
424	0.1585721748
425	0.158227355
426	0.1578304823
427	0.1574082485
428	0.1570989032
429	0.1567237544
430	0.1564553283
431	0.1561368898
432	0.1557236161
433	0.1554234083
434	0.1550105561
435	0.1546978396
436	0.1544637015
437	0.1540701001
438	0.1538402203
439	0.1534475504
440	0.1531606719
441	0.1528755454
442	0.1524870451
443	0.1521766574
444	0.1519455688
445	0.151674315
446	0.1513408838
447	0.1511967792
448	0.1508833419
449	0.1505067515
450	0.1502459992
451	0.1499875091
452	0.1496912934
453	0.1493898436
454	0.1490411093
455	0.1488066163
456	0.1485569976
457	0.1482777928
458	0.1480824005
459	0.1478320942
460	0.1475201318
461	0.147146225
462	0.1467797368
463	0.1465134953
464	0.1462519779
465	0.1459349477
466	0.1456706912
467	0.145439281
468	0.1451226944
469	0.1448617203
470	0.1445575869
471	0.1443416906
472	0.1439542992
473	0.1437300083
474	0.1433656604
475	0.1431408483
476	0.1428836778
477	0.1426297343
478	0.1423069599
479	0.1418390829
480	0.1415042101
481	0.1413163695
482	0.1410223606
483	0.1407456842
484	0.140508441
485	0.1401794567
486	0.1398768092
487	0.1395967284
488	0.1393934738
489	0.1391221202
490	0.1388207258
491	0.1385520004
492	0.1382568492
493	0.137964293
494	0.1376959889
495	0.1373586211
496	0.1373225922
497	0.1369620257
498	0.1367445103
499	0.1365267177
500	0.1363386553
501	0.1361030091
502	0.1358282178
503	0.1355541584
504	0.1353863783
505	0.1350857269
506	0.1347247723
507	0.134432837
508	0.1342523043
509	0.1339949453
